time,demand
01/01/2030 0:00,50601
01/01/2030 1:00,47176
01/01/2030 2:00,46798
01/01/2030 3:00,46077
01/01/2030 4:00,46022
01/01/2030 5:00,45141
01/01/2030 6:00,42754
01/01/2030 7:00,41583
01/01/2030 8:00,42370
01/01/2030 9:00,44233
01/01/2030 10:00,46884
01/01/2030 11:00,50589
01/01/2030 12:00,52347
01/01/2030 13:00,52417
01/01/2030 14:00,52014
01/01/2030 15:00,52501
01/01/2030 16:00,54257
01/01/2030 17:00,59245
01/01/2030 18:00,60354
01/01/2030 19:00,59595
01/01/2030 20:00,57083
01/01/2030 21:00,56431
01/01/2030 22:00,56725
01/01/2030 23:00,53058
01/02/2030 0:00,49950
01/02/2030 1:00,46811
01/02/2030 2:00,47872
01/02/2030 3:00,48195
01/02/2030 4:00,49502
01/02/2030 5:00,51569
01/02/2030 6:00,57368
01/02/2030 7:00,63120
01/02/2030 8:00,67772
01/02/2030 9:00,68917
01/02/2030 10:00,70928
01/02/2030 11:00,73044
01/02/2030 12:00,73757
01/02/2030 13:00,73676
01/02/2030 14:00,73097
01/02/2030 15:00,72938
01/02/2030 16:00,73843
01/02/2030 17:00,75978
01/02/2030 18:00,75848
01/02/2030 19:00,73740
01/02/2030 20:00,69316
01/02/2030 21:00,67475
01/02/2030 22:00,66266
01/02/2030 23:00,61390
01/03/2030 0:00,56838
01/03/2030 1:00,53368
01/03/2030 2:00,53457
01/03/2030 3:00,54000
01/03/2030 4:00,55278
01/03/2030 5:00,57475
01/03/2030 6:00,61718
01/03/2030 7:00,66322
01/03/2030 8:00,70327
01/03/2030 9:00,71308
01/03/2030 10:00,72660
01/03/2030 11:00,74178
01/03/2030 12:00,74151
01/03/2030 13:00,73886
01/03/2030 14:00,73527
01/03/2030 15:00,73378
01/03/2030 16:00,74254
01/03/2030 17:00,76996
01/03/2030 18:00,77048
01/03/2030 19:00,75129
01/03/2030 20:00,70921
01/03/2030 21:00,68077
01/03/2030 22:00,66910
01/03/2030 23:00,62202
01/04/2030 0:00,57286
01/04/2030 1:00,54261
01/04/2030 2:00,55079
01/04/2030 3:00,55387
01/04/2030 4:00,56516
01/04/2030 5:00,58380
01/04/2030 6:00,63255
01/04/2030 7:00,67859
01/04/2030 8:00,71772
01/04/2030 9:00,72992
01/04/2030 10:00,74533
01/04/2030 11:00,76573
01/04/2030 12:00,76412
01/04/2030 13:00,75261
01/04/2030 14:00,74367
01/04/2030 15:00,74914
01/04/2030 16:00,75305
01/04/2030 17:00,77839
01/04/2030 18:00,77667
01/04/2030 19:00,75514
01/04/2030 20:00,71464
01/04/2030 21:00,68988
01/04/2030 22:00,66901
01/04/2030 23:00,62146
01/05/2030 0:00,57700
01/05/2030 1:00,54075
01/05/2030 2:00,54733
01/05/2030 3:00,54948
01/05/2030 4:00,56168
01/05/2030 5:00,58426
01/05/2030 6:00,62612
01/05/2030 7:00,67434
01/05/2030 8:00,71489
01/05/2030 9:00,72679
01/05/2030 10:00,74307
01/05/2030 11:00,75741
01/05/2030 12:00,75863
01/05/2030 13:00,74884
01/05/2030 14:00,73793
01/05/2030 15:00,73483
01/05/2030 16:00,74240
01/05/2030 17:00,76584
01/05/2030 18:00,75734
01/05/2030 19:00,72840
01/05/2030 20:00,68569
01/05/2030 21:00,66025
01/05/2030 22:00,65082
01/05/2030 23:00,60361
01/06/2030 0:00,55216
01/06/2030 1:00,52439
01/06/2030 2:00,51000
01/06/2030 3:00,50999
01/06/2030 4:00,51454
01/06/2030 5:00,50793
01/06/2030 6:00,49607
01/06/2030 7:00,51322
01/06/2030 8:00,55031
01/06/2030 9:00,57980
01/06/2030 10:00,60510
01/06/2030 11:00,62530
01/06/2030 12:00,62612
01/06/2030 13:00,61324
01/06/2030 14:00,59719
01/06/2030 15:00,59914
01/06/2030 16:00,61632
01/06/2030 17:00,65812
01/06/2030 18:00,65890
01/06/2030 19:00,63990
01/06/2030 20:00,60065
01/06/2030 21:00,58206
01/06/2030 22:00,57454
01/06/2030 23:00,53815
01/07/2030 0:00,49059
01/07/2030 1:00,46334
01/07/2030 2:00,45167
01/07/2030 3:00,45342
01/07/2030 4:00,46163
01/07/2030 5:00,45708
01/07/2030 6:00,43745
01/07/2030 7:00,44361
01/07/2030 8:00,47451
01/07/2030 9:00,50569
01/07/2030 10:00,53668
01/07/2030 11:00,57406
01/07/2030 12:00,57668
01/07/2030 13:00,55900
01/07/2030 14:00,54902
01/07/2030 15:00,55201
01/07/2030 16:00,56741
01/07/2030 17:00,62565
01/07/2030 18:00,64636
01/07/2030 19:00,63689
01/07/2030 20:00,61303
01/07/2030 21:00,60336
01/07/2030 22:00,61030
01/07/2030 23:00,57011
01/08/2030 0:00,52886
01/08/2030 1:00,49972
01/08/2030 2:00,51206
01/08/2030 3:00,52095
01/08/2030 4:00,53359
01/08/2030 5:00,56909
01/08/2030 6:00,65472
01/08/2030 7:00,72699
01/08/2030 8:00,75665
01/08/2030 9:00,75547
01/08/2030 10:00,76391
01/08/2030 11:00,77827
01/08/2030 12:00,77493
01/08/2030 13:00,77331
01/08/2030 14:00,76266
01/08/2030 15:00,75371
01/08/2030 16:00,75730
01/08/2030 17:00,78298
01/08/2030 18:00,78298
01/08/2030 19:00,76763
01/08/2030 20:00,71938
01/08/2030 21:00,68858
01/08/2030 22:00,65915
01/08/2030 23:00,60360
01/09/2030 0:00,55680
01/09/2030 1:00,53749
01/09/2030 2:00,53783
01/09/2030 3:00,54426
01/09/2030 4:00,56806
01/09/2030 5:00,59805
01/09/2030 6:00,67782
01/09/2030 7:00,73718
01/09/2030 8:00,77289
01/09/2030 9:00,76465
01/09/2030 10:00,77273
01/09/2030 11:00,78298
01/09/2030 12:00,78298
01/09/2030 13:00,78215
01/09/2030 14:00,77388
01/09/2030 15:00,77320
01/09/2030 16:00,77080
01/09/2030 17:00,78298
01/09/2030 18:00,78298
01/09/2030 19:00,77720
01/09/2030 20:00,73336
01/09/2030 21:00,69931
01/09/2030 22:00,67023
01/09/2030 23:00,61472
01/10/2030 0:00,56719
01/10/2030 1:00,55238
01/10/2030 2:00,55802
01/10/2030 3:00,55275
01/10/2030 4:00,57062
01/10/2030 5:00,60327
01/10/2030 6:00,67920
01/10/2030 7:00,73984
01/10/2030 8:00,76196
01/10/2030 9:00,74998
01/10/2030 10:00,75063
01/10/2030 11:00,76319
01/10/2030 12:00,75988
01/10/2030 13:00,76046
01/10/2030 14:00,75222
01/10/2030 15:00,74875
01/10/2030 16:00,75929
01/10/2030 17:00,78298
01/10/2030 18:00,78298
01/10/2030 19:00,77053
01/10/2030 20:00,72283
01/10/2030 21:00,69581
01/10/2030 22:00,67380
01/10/2030 23:00,61521
01/11/2030 0:00,57603
01/11/2030 1:00,57052
01/11/2030 2:00,57556
01/11/2030 3:00,58081
01/11/2030 4:00,58404
01/11/2030 5:00,61141
01/11/2030 6:00,68265
01/11/2030 7:00,74291
01/11/2030 8:00,76747
01/11/2030 9:00,76266
01/11/2030 10:00,77065
01/11/2030 11:00,78298
01/11/2030 12:00,78298
01/11/2030 13:00,78298
01/11/2030 14:00,78298
01/11/2030 15:00,78298
01/11/2030 16:00,78298
01/11/2030 17:00,78298
01/11/2030 18:00,78298
01/11/2030 19:00,78298
01/11/2030 20:00,74347
01/11/2030 21:00,71050
01/11/2030 22:00,68157
01/11/2030 23:00,62831
01/12/2030 0:00,58303
01/12/2030 1:00,59322
01/12/2030 2:00,59685
01/12/2030 3:00,58674
01/12/2030 4:00,59214
01/12/2030 5:00,61603
01/12/2030 6:00,69058
01/12/2030 7:00,75361
01/12/2030 8:00,77340
01/12/2030 9:00,76072
01/12/2030 10:00,75885
01/12/2030 11:00,76877
01/12/2030 12:00,76448
01/12/2030 13:00,75940
01/12/2030 14:00,75267
01/12/2030 15:00,75511
01/12/2030 16:00,75726
01/12/2030 17:00,78298
01/12/2030 18:00,78060
01/12/2030 19:00,75485
01/12/2030 20:00,70827
01/12/2030 21:00,67532
01/12/2030 22:00,66064
01/12/2030 23:00,61767
01/13/2030 0:00,57273
01/13/2030 1:00,54696
01/13/2030 2:00,53860
01/13/2030 3:00,53803
01/13/2030 4:00,54353
01/13/2030 5:00,54192
01/13/2030 6:00,54339
01/13/2030 7:00,57274
01/13/2030 8:00,61546
01/13/2030 9:00,63888
01/13/2030 10:00,65621
01/13/2030 11:00,66963
01/13/2030 12:00,66624
01/13/2030 13:00,64776
01/13/2030 14:00,62836
01/13/2030 15:00,63119
01/13/2030 16:00,62970
01/13/2030 17:00,67550
01/13/2030 18:00,67923
01/13/2030 19:00,65812
01/13/2030 20:00,61454
01/13/2030 21:00,59405
01/13/2030 22:00,59405
01/13/2030 23:00,56174
01/14/2030 0:00,51438
01/14/2030 1:00,48781
01/14/2030 2:00,47865
01/14/2030 3:00,47660
01/14/2030 4:00,48455
01/14/2030 5:00,48003
01/14/2030 6:00,46488
01/14/2030 7:00,47537
01/14/2030 8:00,50890
01/14/2030 9:00,53802
01/14/2030 10:00,56768
01/14/2030 11:00,59444
01/14/2030 12:00,58983
01/14/2030 13:00,56731
01/14/2030 14:00,55093
01/14/2030 15:00,54883
01/14/2030 16:00,55568
01/14/2030 17:00,62359
01/14/2030 18:00,64777
01/14/2030 19:00,63918
01/14/2030 20:00,61449
01/14/2030 21:00,60888
01/14/2030 22:00,61284
01/14/2030 23:00,57640
01/15/2030 0:00,54554
01/15/2030 1:00,52141
01/15/2030 2:00,54013
01/15/2030 3:00,54335
01/15/2030 4:00,55728
01/15/2030 5:00,58619
01/15/2030 6:00,67173
01/15/2030 7:00,73881
01/15/2030 8:00,76251
01/15/2030 9:00,75236
01/15/2030 10:00,75979
01/15/2030 11:00,77062
01/15/2030 12:00,76228
01/15/2030 13:00,75183
01/15/2030 14:00,74880
01/15/2030 15:00,74582
01/15/2030 16:00,74453
01/15/2030 17:00,78298
01/15/2030 18:00,78298
01/15/2030 19:00,77035
01/15/2030 20:00,72487
01/15/2030 21:00,69753
01/15/2030 22:00,67636
01/15/2030 23:00,63062
01/16/2030 0:00,59468
01/16/2030 1:00,57648
01/16/2030 2:00,57520
01/16/2030 3:00,57308
01/16/2030 4:00,58595
01/16/2030 5:00,61463
01/16/2030 6:00,69716
01/16/2030 7:00,75886
01/16/2030 8:00,78160
01/16/2030 9:00,77266
01/16/2030 10:00,78171
01/16/2030 11:00,78298
01/16/2030 12:00,78078
01/16/2030 13:00,77395
01/16/2030 14:00,77061
01/16/2030 15:00,76678
01/16/2030 16:00,76285
01/16/2030 17:00,78298
01/16/2030 18:00,78298
01/16/2030 19:00,78128
01/16/2030 20:00,73762
01/16/2030 21:00,70676
01/16/2030 22:00,67752
01/16/2030 23:00,62259
01/17/2030 0:00,58128
01/17/2030 1:00,56650
01/17/2030 2:00,56527
01/17/2030 3:00,55658
