time,Other ren,Biomass,Hydro
01/01/2019 0:00,128,4930.75,1558
01/01/2019 1:00,128,4904,1553.75
01/01/2019 2:00,128,4866.5,1511
01/01/2019 3:00,128,4865.75,1494.75
01/01/2019 4:00,124,4867.25,1458.25
01/01/2019 5:00,124,4859.75,1385
01/01/2019 6:00,124,4868.25,1416.25
01/01/2019 7:00,124,4881.5,1432
01/01/2019 8:00,124,4901,1446
01/01/2019 9:00,124,4901,1483.25
01/01/2019 10:00,124,4908.75,1535.5
01/01/2019 11:00,124,4904.75,1573.5
01/01/2019 12:00,124,4907.5,1600.5
01/01/2019 13:00,124,4904,1572
01/01/2019 14:00,124,4903,1606
01/01/2019 15:00,124,4896.75,1560
01/01/2019 16:00,124,4894.25,1559.75
01/01/2019 17:00,124,4889.75,1445.25
01/01/2019 18:00,124,4910,1431
01/01/2019 19:00,124,4889.5,1417.25
01/01/2019 20:00,124,4882.25,1408.75
01/01/2019 21:00,124,4885.5,1397.75
01/01/2019 22:00,124,4855.75,1385.5
01/01/2019 23:00,124,4848.5,1345.5
01/02/2019 0:00,125,4819.5,1383
01/02/2019 1:00,126,4806.5,1336.5
01/02/2019 2:00,128,4809,1340.25
01/02/2019 3:00,128,4797.5,1330
01/02/2019 4:00,127,4780,1295.75
01/02/2019 5:00,124,4788,1337.5
01/02/2019 6:00,124,4792.75,1412.75
01/02/2019 7:00,124,4827.75,1400.75
01/02/2019 8:00,124,4855.25,1403.75
01/02/2019 9:00,124,4861,1379.75
01/02/2019 10:00,124,4869,1402.5
01/02/2019 11:00,124,4882.25,1449.5
01/02/2019 12:00,124,4889.5,1466.75
01/02/2019 13:00,124,4891.25,1468
01/02/2019 14:00,124,4904.25,1452.5
01/02/2019 15:00,124,4908.75,1485.75
01/02/2019 16:00,126,4906.25,1450.75
01/02/2019 17:00,128,4909.5,1451.25
01/02/2019 18:00,128,4913.5,1489.25
01/02/2019 19:00,128,4908.5,1508.5
01/02/2019 20:00,128,4895.75,1442.5
01/02/2019 21:00,128,4890.25,1382.5
01/02/2019 22:00,129,4858.75,1400
01/02/2019 23:00,132,4846.75,1419
01/03/2019 0:00,132,4833.5,1432.5
01/03/2019 1:00,132,4801.25,1442.25
01/03/2019 2:00,132,4792,1429
01/03/2019 3:00,132,4794,1395.5
01/03/2019 4:00,132,4804.25,1401.5
01/03/2019 5:00,128,4804.75,1435.5
01/03/2019 6:00,128,4805.5,1468.25
01/03/2019 7:00,128,4849.75,1446
01/03/2019 8:00,128,4882.25,1429
01/03/2019 9:00,128,4872.25,1401
01/03/2019 10:00,128,4883.5,1399
01/03/2019 11:00,128,4894.5,1432.5
01/03/2019 12:00,128,4903.5,1372.5
01/03/2019 13:00,128,4885,1370.75
01/03/2019 14:00,130,4868,1376.75
01/03/2019 15:00,131,4906.5,1395.75
01/03/2019 16:00,132,4901.75,1379
01/03/2019 17:00,128,4919,1386.25
01/03/2019 18:00,128,4930.5,1385
01/03/2019 19:00,128,4925,1375.5
01/03/2019 20:00,128,4910.75,1404
01/03/2019 21:00,132,4905.75,1395.25
01/03/2019 22:00,132,4887.25,1384.25
01/03/2019 23:00,130,4875,1381.5
01/04/2019 0:00,128,4856.5,1410.25
01/04/2019 1:00,128,4851,1352.75
01/04/2019 2:00,128,4866.75,1363
01/04/2019 3:00,128,4866.25,1373.75
01/04/2019 4:00,127,4861,1391.5
01/04/2019 5:00,124,4864.75,1393.75
01/04/2019 6:00,124,4853.5,1378.25
01/04/2019 7:00,124,4870,1396.25
01/04/2019 8:00,126,4911.5,1405.25
01/04/2019 9:00,128,4891.25,1526.25
01/04/2019 10:00,128,4916.25,1506.75
01/04/2019 11:00,128,4893.75,1512.5
01/04/2019 12:00,128,4908.5,1479
01/04/2019 13:00,128,4902.5,1488
01/04/2019 14:00,128,4915.75,1496.75
01/04/2019 15:00,128,4923.25,1460.25
01/04/2019 16:00,128,4936.25,1461.5
01/04/2019 17:00,128,4932,1410.75
01/04/2019 18:00,128,4939.25,1468
01/04/2019 19:00,128,4937.75,1449.75
01/04/2019 20:00,128,4929.5,1472.5
01/04/2019 21:00,128,4919.5,1428.5
01/04/2019 22:00,128,4900,1397.75
01/04/2019 23:00,131,4893,1365.5
01/05/2019 0:00,132,4875.25,1400.25
01/05/2019 1:00,131,4852.75,1369.25
01/05/2019 2:00,129,4861.25,1337.5
01/05/2019 3:00,128,4854.5,1363
01/05/2019 4:00,127,4846.25,1376.5
01/05/2019 5:00,124,4832,1393.75
01/05/2019 6:00,124,4842,1411
01/05/2019 7:00,124,4851,1350
01/05/2019 8:00,124,4882,1404.5
01/05/2019 9:00,124,4872.75,1486.75
01/05/2019 10:00,124,4869,1471.75
01/05/2019 11:00,124,4879.25,1477.25
01/05/2019 12:00,124,4889.5,1413.25
01/05/2019 13:00,124,4892.25,1406.75
01/05/2019 14:00,124,4892.75,1434.25
01/05/2019 15:00,124,4889,1430.5
01/05/2019 16:00,124,4911.75,1435
01/05/2019 17:00,124,4902,1396.25
01/05/2019 18:00,124,4932,1403.5
01/05/2019 19:00,124,4932.75,1458.5
01/05/2019 20:00,124,4897.25,1414.5
01/05/2019 21:00,124,4889.5,1428.5
01/05/2019 22:00,124,4871.5,1414.25
01/05/2019 23:00,124,4845.5,1401.75
01/06/2019 0:00,124,4818.75,1458.75
01/06/2019 1:00,124,4797,1412.25
01/06/2019 2:00,124,4799.25,1397.75
01/06/2019 3:00,124,4822.25,1464.25
01/06/2019 4:00,124,4817.5,1399.75
01/06/2019 5:00,124,4821.5,1495
01/06/2019 6:00,124,4839.75,1468
01/06/2019 7:00,124,4842,1395.75
01/06/2019 8:00,124,4841.25,1408
01/06/2019 9:00,124,4843.25,1373.5
01/06/2019 10:00,124,4854,1395.5
01/06/2019 11:00,124,4861,1390.5
01/06/2019 12:00,124,4876.5,1423
01/06/2019 13:00,124,4876.75,1398
01/06/2019 14:00,124,4861.25,1433.25
01/06/2019 15:00,124,4864.25,1434
01/06/2019 16:00,124,4877.25,1469
01/06/2019 17:00,124,4885,1448.75
01/06/2019 18:00,124,4899.5,1422
01/06/2019 19:00,124,4903.5,1433.5
01/06/2019 20:00,124,4898,1436.75
01/06/2019 21:00,124,4896.5,1448.75
01/06/2019 22:00,124,4866.5,1451.5
01/06/2019 23:00,124,4871.75,1443.5
01/07/2019 0:00,124,4855.25,1375.5
01/07/2019 1:00,124,4831.5,1393.5
01/07/2019 2:00,124,4837.5,1396
01/07/2019 3:00,124,4833,1418
01/07/2019 4:00,124,4834.5,1400
01/07/2019 5:00,124,4827.5,1469
01/07/2019 6:00,124,4824,1470.25
01/07/2019 7:00,124,4873,1463
01/07/2019 8:00,124,4867.5,1465.25
01/07/2019 9:00,124,4861,1528.5
01/07/2019 10:00,124,4868.75,1566.25
01/07/2019 11:00,128,4888.75,1531.5
01/07/2019 12:00,128,4878,1540
01/07/2019 13:00,128,4910.5,1435.5
01/07/2019 14:00,128,4856.75,1601.75
01/07/2019 15:00,127,4864.75,1632.25
01/07/2019 16:00,124,4878.75,1688
01/07/2019 17:00,126,4899.25,1606.25
01/07/2019 18:00,128,4921.25,1566
01/07/2019 19:00,128,4915.5,1587.75
01/07/2019 20:00,128,4898.5,1599.75
01/07/2019 21:00,128,4896,1619.5
01/07/2019 22:00,128,4866.25,1630
01/07/2019 23:00,131,4849.25,1611
01/08/2019 0:00,132,4826.5,1580.5
01/08/2019 1:00,130,4806.5,1640.5
01/08/2019 2:00,128,4802.25,1559
01/08/2019 3:00,128,4811.75,1597
01/08/2019 4:00,128,4806.5,1647.75
01/08/2019 5:00,128,4807.75,1621.5
01/08/2019 6:00,128,4811.75,1600.75
01/08/2019 7:00,128,4803.75,1584.5
01/08/2019 8:00,128,4779.25,1495
01/08/2019 9:00,128,4819.5,1516.75
01/08/2019 10:00,128,4830.5,1520.5
01/08/2019 11:00,128,4831,1548.75
01/08/2019 12:00,128,4848.5,1557
01/08/2019 13:00,128,4854.75,1556.5
01/08/2019 14:00,128,4855,1542.5
01/08/2019 15:00,128,4863.75,1530.5
01/08/2019 16:00,128,4899.75,1569.5
01/08/2019 17:00,128,4918.75,1585
01/08/2019 18:00,128,4923,1564.5
01/08/2019 19:00,128,4911.25,1552.5
01/08/2019 20:00,128,4903,1537.5
01/08/2019 21:00,128,4895,1523
01/08/2019 22:00,128,4877.5,1592
01/08/2019 23:00,128,4870.75,1526.75
01/09/2019 0:00,132,4852.75,1528.25
01/09/2019 1:00,129,4835.5,1513.25
01/09/2019 2:00,128,4841.25,1499.25
01/09/2019 3:00,128,4839.5,1548
01/09/2019 4:00,128,4830.75,1545
01/09/2019 5:00,128,4831.25,1577.25
01/09/2019 6:00,128,4832.75,1575.5
01/09/2019 7:00,128,4844.75,1567.75
01/09/2019 8:00,124,4854,1582.75
01/09/2019 9:00,124,4840.5,1519.75
01/09/2019 10:00,124,4854,1534.25
01/09/2019 11:00,124,4847,1494.5
01/09/2019 12:00,124,4829,1519.75
01/09/2019 13:00,124,4836.75,1496.75
01/09/2019 14:00,124,4847.25,1561.25
01/09/2019 15:00,124,4871.25,1513.75
01/09/2019 16:00,127,4902.5,1546
01/09/2019 17:00,128,4933.25,1519.5
01/09/2019 18:00,128,4930.5,1501.25
01/09/2019 19:00,128,4934.25,1508.75
01/09/2019 20:00,128,4953,1557
01/09/2019 21:00,128,4946.75,1564.75
01/09/2019 22:00,131,4929.75,1531
01/09/2019 23:00,132,4926.5,1558.25
01/10/2019 0:00,132,4923.75,1561.5
01/10/2019 1:00,132,4887.5,1555
01/10/2019 2:00,132,4886.75,1564
01/10/2019 3:00,132,4887.75,1584.5
01/10/2019 4:00,132,4876.5,1560.25
01/10/2019 5:00,128,4865,1556.75
01/10/2019 6:00,128,4885,1656.5
01/10/2019 7:00,128,4905.5,1894
01/10/2019 8:00,128,4911,1875.75
01/10/2019 9:00,128,4918.5,1849.25
01/10/2019 10:00,128,4930,1867
01/10/2019 11:00,185,4934,1863.75
01/10/2019 12:00,204,4929,1841
01/10/2019 13:00,204,4940,1828.75
01/10/2019 14:00,204,4937.75,1796.25
01/10/2019 15:00,204,4931.75,1788
01/10/2019 16:00,204,4941.5,1854
01/10/2019 17:00,204,4945.25,1888.75
01/10/2019 18:00,204,4969.25,1682.5
01/10/2019 19:00,204,4965,1715.75
01/10/2019 20:00,205,4954.25,1658.25
01/10/2019 21:00,204,4950.75,1647.5
01/10/2019 22:00,204,4918,1701.25
01/10/2019 23:00,207,4912.5,1642.5
01/11/2019 0:00,208,4901.25,1630.75
01/11/2019 1:00,208,4886.25,1648.75
01/11/2019 2:00,208,4898,1716.75
01/11/2019 3:00,208,4891.5,1636.5
01/11/2019 4:00,206,4912,1739.25
01/11/2019 5:00,205,4909,1694.75
01/11/2019 6:00,204,4912.25,1726.5
01/11/2019 7:00,200,4929.5,1609
01/11/2019 8:00,200,4949.5,1602.75
01/11/2019 9:00,200,4951.5,1622.25
01/11/2019 10:00,200,4960.25,1533.75
01/11/2019 11:00,200,4963.25,1530
01/11/2019 12:00,200,4958,1530.25
01/11/2019 13:00,200,4961.25,1528.25
01/11/2019 14:00,200,4962.5,1515.25
01/11/2019 15:00,203,4975.25,1510.75
01/11/2019 16:00,204,4981.5,1537
01/11/2019 17:00,204,4983,1516
01/11/2019 18:00,204,5001,1486.75
01/11/2019 19:00,204,5003.25,1480.25
01/11/2019 20:00,204,4985.75,1466.25
01/11/2019 21:00,204,4987.5,1473
01/11/2019 22:00,204,4941,1500
01/11/2019 23:00,204,4943,1501.25
01/12/2019 0:00,204,4923,1520.25
01/12/2019 1:00,204,4908.75,1479.75
01/12/2019 2:00,201,4918.25,1486.75
01/12/2019 3:00,200,4920,1498.75
01/12/2019 4:00,200,4920.75,1446.5
01/12/2019 5:00,200,4930,1438.25
01/12/2019 6:00,200,4921,1442.25
01/12/2019 7:00,200,4961.25,1421
01/12/2019 8:00,200,4972.75,1403.25
01/12/2019 9:00,200,4957.75,1408.25
01/12/2019 10:00,200,4960.75,1396.5
01/12/2019 11:00,200,4972.25,1401.75
01/12/2019 12:00,200,4992,1411.25
01/12/2019 13:00,200,4996.5,1407
01/12/2019 14:00,200,4997.5,1410.75
01/12/2019 15:00,197,5006.5,1401.75
01/12/2019 16:00,196,5015,1432.5
01/12/2019 17:00,199,5010.5,1377.25
01/12/2019 18:00,200,5016.75,1390.75
01/12/2019 19:00,200,5023.75,1396.5
01/12/2019 20:00,200,5017.25,1422
