,demand
2019-01-01 00:00:00,42977.0
2019-01-01 01:00:00,41562.0
2019-01-01 02:00:00,40100.0
2019-01-01 03:00:00,38884.0
2019-01-01 04:00:00,38806.0
2019-01-01 05:00:00,38594.0
2019-01-01 06:00:00,38141.0
2019-01-01 07:00:00,38742.0
2019-01-01 08:00:00,39256.0
2019-01-01 09:00:00,42018.0
2019-01-01 10:00:00,44534.0
2019-01-01 11:00:00,47490.0
2019-01-01 12:00:00,49261.0
2019-01-01 13:00:00,48832.0
2019-01-01 14:00:00,48596.0
2019-01-01 15:00:00,48827.0
2019-01-01 16:00:00,50627.0
2019-01-01 17:00:00,53793.0
2019-01-01 18:00:00,54371.0
2019-01-01 19:00:00,53815.0
2019-01-01 20:00:00,51609.0
2019-01-01 21:00:00,49699.0
2019-01-01 22:00:00,48860.0
2019-01-01 23:00:00,46095.0
2019-01-02 00:00:00,56473.0
2019-01-02 01:00:00,54894.0
2019-01-02 02:00:00,54356.0
2019-01-02 03:00:00,54356.0
2019-01-02 04:00:00,55132.0
2019-01-02 05:00:00,58130.0
2019-01-02 06:00:00,64634.0
2019-01-02 07:00:00,70661.0
2019-01-02 08:00:00,73045.0
2019-01-02 09:00:00,74064.0
2019-01-02 10:00:00,74952.0
2019-01-02 11:00:00,74955.0
2019-01-02 12:00:00,73694.0
2019-01-02 13:00:00,71992.0
2019-01-02 14:00:00,69923.0
2019-01-02 15:00:00,68832.0
2019-01-02 16:00:00,68278.0
2019-01-02 17:00:00,70548.0
2019-01-02 18:00:00,71063.0
2019-01-02 19:00:00,69658.0
2019-01-02 20:00:00,65736.0
2019-01-02 21:00:00,61739.0
2019-01-02 22:00:00,59625.0
2019-01-02 23:00:00,55274.0
2019-01-03 00:00:00,49538.0
2019-01-03 01:00:00,48114.0
2019-01-03 02:00:00,47280.0
2019-01-03 03:00:00,47533.0
2019-01-03 04:00:00,49156.0
2019-01-03 05:00:00,52647.0
2019-01-03 06:00:00,60459.0
2019-01-03 07:00:00,65348.0
2019-01-03 08:00:00,67937.0
2019-01-03 09:00:00,69755.0
2019-01-03 10:00:00,71403.0
2019-01-03 11:00:00,72277.0
2019-01-03 12:00:00,71431.0
2019-01-03 13:00:00,69512.0
2019-01-03 14:00:00,67653.0
2019-01-03 15:00:00,66675.0
2019-01-03 16:00:00,65749.0
2019-01-03 17:00:00,66215.0
2019-01-03 18:00:00,67934.0
2019-01-03 19:00:00,66691.0
2019-01-03 20:00:00,62533.0
2019-01-03 21:00:00,59043.0
2019-01-03 22:00:00,56411.0
2019-01-03 23:00:00,52589.0
2019-01-04 00:00:00,44450.0
2019-01-04 01:00:00,42378.0
2019-01-04 02:00:00,41689.0
2019-01-04 03:00:00,42265.0
2019-01-04 04:00:00,44459.0
2019-01-04 05:00:00,48776.0
2019-01-04 06:00:00,58264.0
2019-01-04 07:00:00,63306.0
2019-01-04 08:00:00,65413.0
2019-01-04 09:00:00,65674.0
2019-01-04 10:00:00,66013.0
2019-01-04 11:00:00,66814.0
2019-01-04 12:00:00,66184.0
2019-01-04 13:00:00,65732.0
2019-01-04 14:00:00,64603.0
2019-01-04 15:00:00,63357.0
2019-01-04 16:00:00,61490.0
2019-01-04 17:00:00,60943.0
2019-01-04 18:00:00,62038.0
2019-01-04 19:00:00,63635.0
2019-01-04 20:00:00,63820.0
2019-01-04 21:00:00,61331.0
2019-01-04 22:00:00,57358.0
2019-01-04 23:00:00,52337.0
2019-01-05 00:00:00,45044.0
2019-01-05 01:00:00,42773.0
2019-01-05 02:00:00,40989.0
2019-01-05 03:00:00,40709.0
2019-01-05 04:00:00,40731.0
2019-01-05 05:00:00,40033.0
2019-01-05 06:00:00,38612.0
2019-01-05 07:00:00,40392.0
2019-01-05 08:00:00,44289.0
2019-01-05 09:00:00,47231.0
2019-01-05 10:00:00,49327.0
2019-01-05 11:00:00,50843.0
2019-01-05 12:00:00,49429.0
2019-01-05 13:00:00,47222.0
2019-01-05 14:00:00,45681.0
2019-01-05 15:00:00,45619.0
2019-01-05 16:00:00,45012.0
2019-01-05 17:00:00,45552.0
2019-01-05 18:00:00,46752.0
2019-01-05 19:00:00,47995.0
2019-01-05 20:00:00,47986.0
2019-01-05 21:00:00,47861.0
2019-01-05 22:00:00,47284.0
2019-01-05 23:00:00,43566.0
2019-01-06 00:00:00,42618.0
2019-01-06 01:00:00,40316.0
2019-01-06 02:00:00,39211.0
2019-01-06 03:00:00,38697.0
